istochnik,kanal,data_kommunikacii,id_kommunikacii,nazvanie_kommunikacii,tekst_kommunikacii,brand,target,sent,delivered,opened,clicked,unsubscribed
Breffi,Внешниe email,2022-01-12,707e61c0-c545-420a-b41f-f86e951c3a49,"12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","Гастростат, Урдокса",Аллергологи,1,1,0,0,0
Breffi,Внешниe email,2022-01-12,707e61c0-c545-420a-b41f-f86e951c3a49,"12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","Гастростат, Урдокса",Гастроэнтерологи,594,442,101,8,0
Breffi,Внешниe email,2022-01-12,707e61c0-c545-420a-b41f-f86e951c3a49,"12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","Гастростат, Урдокса",Диагносты (функциональные/ультразвуковые),1,1,0,0,0
Breffi,Внешниe email,2022-01-12,707e61c0-c545-420a-b41f-f86e951c3a49,"12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","Гастростат, Урдокса",Другое,2,2,0,0,0
Breffi,Внешниe email,2022-01-12,707e61c0-c545-420a-b41f-f86e951c3a49,"12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","Гастростат, Урдокса",Кардиологи,1,1,0,0,0
Breffi,Внешниe email,2022-01-12,707e61c0-c545-420a-b41f-f86e951c3a49,"12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","Гастростат, Урдокса",Педиатры,9,4,3,0,0
Breffi,Внешниe email,2022-01-12,707e61c0-c545-420a-b41f-f86e951c3a49,"12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","Гастростат, Урдокса",Терапевты,23,17,3,0,0
Breffi,Внешниe email,2022-01-12,707e61c0-c545-420a-b41f-f86e951c3a49,"12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","12.01.2022 АК033_БФГ_Гастростат, Урдокса_E-mail Волны №7 - верстка и отправка + PUSH","Гастростат, Урдокса",Эндокринологи,1,1,0,0,0
Breffi,Внешниe email,2022-03-05,3def5cfe-7bc3-4bbe-b467-2c9da3e69667,05.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2 триг.,05.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2 триг.,"Кипферон, Кагоцел",Диагносты (функциональные/ультразвуковые),1,0,0,0,0
Breffi,Внешниe email,2022-03-05,3def5cfe-7bc3-4bbe-b467-2c9da3e69667,05.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2 триг.,05.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2 триг.,"Кипферон, Кагоцел",Другое,2,2,0,0,0
Breffi,Внешниe email,2022-03-05,3def5cfe-7bc3-4bbe-b467-2c9da3e69667,05.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2 триг.,05.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2 триг.,"Кипферон, Кагоцел",Педиатры,3054,2545,518,73,186
Breffi,Внешниe email,2022-03-05,3def5cfe-7bc3-4bbe-b467-2c9da3e69667,05.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2 триг.,05.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2 триг.,"Кипферон, Кагоцел",Эндокринологи,0,0,0,0,0
Breffi,Внешниe email,2022-03-18,5febe2d2-85d1-4604-ae1a-3ead96a4adef,18.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триг.,18.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триг.,"Необутин, Максилак",Диагносты (функциональные/ультразвуковые),1,0,0,0,0
Breffi,Внешниe email,2022-03-18,5febe2d2-85d1-4604-ae1a-3ead96a4adef,18.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триг.,18.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триг.,"Необутин, Максилак",Другое,1,1,0,0,0
Breffi,Внешниe email,2022-03-18,5febe2d2-85d1-4604-ae1a-3ead96a4adef,18.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триг.,18.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триг.,"Необутин, Максилак",Педиатры,1125,1000,197,43,31
Breffi,Внешниe email,2022-03-18,5febe2d2-85d1-4604-ae1a-3ead96a4adef,18.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триг.,18.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триг.,"Необутин, Максилак",Эндокринологи,0,0,0,0,0
Breffi,Внешниe email,2022-03-22,500a9ebd-3c48-4cc3-9caf-c85df8e74e59,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,No Brand,Врачи скорой и неотложной медицинской помощи,0,0,0,0,0
Breffi,Внешниe email,2022-03-22,500a9ebd-3c48-4cc3-9caf-c85df8e74e59,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,No Brand,Дерматологи/Дерматовенерологи,1,1,0,0,0
Breffi,Внешниe email,2022-03-22,500a9ebd-3c48-4cc3-9caf-c85df8e74e59,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,No Brand,Другое,1,1,0,0,0
Breffi,Внешниe email,2022-03-22,500a9ebd-3c48-4cc3-9caf-c85df8e74e59,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,No Brand,Лечебная физкультура и спортивная медицина,1,1,0,0,0
